seed,lr,val_acc
1,0.01,0.8193333148956299
1,0.05,0.8336666822433472
1,0.1,0.8295000195503235
1,0.2,0.10166666656732559
2,0.01,0.825166642665863
2,0.05,0.8333333134651184
2,0.1,0.8289999961853027
2,0.2,0.10166666656732559
3,0.01,0.8181666731834412
3,0.05,0.8339999914169312
3,0.1,0.8356666564941406
3,0.2,0.10166666656732559
4,0.01,0.8286666870117188
4,0.05,0.8373333215713501
4,0.1,0.8346666693687439
4,0.2,0.10166666656732559
5,0.01,0.8241666555404663
5,0.05,0.8379999995231628
5,0.1,0.8324999809265137
5,0.2,0.10166666656732559
