seed,batch_size,norm,accuracy
5.0,32.0,Group Norm,0.8639000058174133
5.0,32.0,Batch Norm,0.8629999756813049
5.0,16.0,Group Norm,0.8605999946594238
5.0,16.0,Batch Norm,0.8626000285148621
5.0,8.0,Group Norm,0.8618999719619751
5.0,8.0,Batch Norm,0.8579000234603882
5.0,4.0,Group Norm,0.8626999855041504
5.0,4.0,Batch Norm,0.8460000157356262
5.0,2.0,Group Norm,0.8615999817848206
5.0,2.0,Batch Norm,0.7986000180244446
4.0,32.0,Group Norm,0.8604000210762024
4.0,32.0,Batch Norm,0.8700000047683716
4.0,16.0,Group Norm,0.8521999716758728
4.0,16.0,Batch Norm,0.8672999739646912
4.0,8.0,Group Norm,0.8579000234603882
4.0,8.0,Batch Norm,0.8597000241279602
4.0,4.0,Group Norm,0.8626999855041504
4.0,4.0,Batch Norm,0.8481000065803528
4.0,2.0,Group Norm,0.8616999983787537
4.0,2.0,Batch Norm,0.795799970626831
3.0,32.0,Group Norm,0.8592000007629395
3.0,32.0,Batch Norm,0.8614000082015991
3.0,16.0,Group Norm,0.8564000129699707
3.0,16.0,Batch Norm,0.8658999800682068
3.0,8.0,Group Norm,0.8600999712944031
3.0,8.0,Batch Norm,0.8677999973297119
3.0,4.0,Group Norm,0.858299970626831
3.0,4.0,Batch Norm,0.8417999744415283
3.0,2.0,Group Norm,0.8597999811172485
3.0,2.0,Batch Norm,0.8095999956130981
2.0,32.0,Group Norm,0.8579999804496765
2.0,32.0,Batch Norm,0.8633000254631042
2.0,16.0,Group Norm,0.8544999957084656
2.0,16.0,Batch Norm,0.86080002784729
2.0,8.0,Group Norm,0.8515999913215637
2.0,8.0,Batch Norm,0.8592000007629395
2.0,4.0,Group Norm,0.8546000123023987
2.0,4.0,Batch Norm,0.8501999974250793
2.0,2.0,Group Norm,0.8562999963760376
2.0,2.0,Batch Norm,0.8029000163078308
1.0,32.0,Group Norm,0.8561999797821045
1.0,32.0,Batch Norm,0.8622000217437744
1.0,16.0,Group Norm,0.8619999885559082
1.0,16.0,Batch Norm,0.8634999990463257
1.0,8.0,Group Norm,0.8568999767303467
1.0,8.0,Batch Norm,0.8626000285148621
1.0,4.0,Group Norm,0.8601999878883362
1.0,4.0,Batch Norm,0.8525999784469604
1.0,2.0,Group Norm,0.8500000238418579
1.0,2.0,Batch Norm,0.8080999851226807
